# ell, ell*(ell+1)*C_11(ell)/2pi, ell*(ell+1)*C_12(ell)/2pi, ell*(ell+1)*C_22(ell)/2pi
1.000000000000000021e-02 7.259215154434779481e-13 7.615027515634028705e-13 8.092026657546227453e-13
1.037609999999999921e-02 7.806861364990122722e-13 8.189524965115545765e-13 8.702501756004881434e-13
1.076620000000000008e-02 8.395812867294802286e-13 8.807339550518958146e-13 9.359014961517614536e-13
1.117109999999999978e-02 9.029454832941060926e-13 9.472036568123953054e-13 1.006534562753193969e-12
1.159119999999999942e-02 9.711023165638966412e-13 1.018701108356410708e-12 1.082511407413943695e-12
1.202710000000000064e-02 1.044420903973408542e-12 1.095613202107665332e-12 1.164240249474053725e-12
1.247939999999999987e-02 1.123291342926502644e-12 1.178350996749488057e-12 1.252160694847328172e-12
1.294859999999999935e-02 1.208130518798809633e-12 1.267349246651186369e-12 1.346733404250248465e-12
1.343560000000000067e-02 1.299415416416900036e-12 1.363107831427638445e-12 1.448488303647300691e-12
1.394079999999999972e-02 1.397608170641018984e-12 1.466113125834741446e-12 1.557949495113850134e-12
1.446509999999999983e-02 1.503261479741239370e-12 1.576946303049599990e-12 1.675723669674126291e-12
1.500899999999999977e-02 1.616918659309365232e-12 1.696174290977383368e-12 1.802420674350258811e-12
1.557339999999999940e-02 1.739210226095983359e-12 1.824462199056419304e-12 1.938742332881971014e-12
1.615909999999999916e-02 1.870798905044007866e-12 1.962499045824452474e-12 2.085426208810874397e-12
1.676679999999999837e-02 2.012382735726418460e-12 2.111023362135150693e-12 2.243251454210604770e-12
1.739730000000000096e-02 2.164723980659572136e-12 2.270830499653278254e-12 2.413071153387393661e-12
1.805150000000000157e-02 2.328646308670324683e-12 2.442788468783693533e-12 2.595798922702226444e-12
1.873029999999999834e-02 2.505044175947927963e-12 2.627833343314012237e-12 2.792433933436167369e-12
1.943469999999999920e-02 2.694880947791022320e-12 2.826973433479598477e-12 3.004050078076609382e-12
2.016549999999999940e-02 2.899162974635667369e-12 3.041268021260883619e-12 3.231768411284269029e-12
2.092379999999999934e-02 3.119015190198017004e-12 3.271901025416746365e-12 3.476844676216635894e-12
2.171069999999999944e-02 3.355647283423752688e-12 3.520127856313651347e-12 3.740617965346460061e-12
2.252710000000000129e-02 3.610319519544483788e-12 3.787265847335203633e-12 4.024496959740157456e-12
2.337420000000000123e-02 3.884434036872408767e-12 4.074825821982951540e-12 4.330052082207122591e-12
2.425319999999999906e-02 4.179505556523836253e-12 4.384343355927410865e-12 4.658962802879199802e-12
2.516530000000000156e-02 4.497108528152979413e-12 4.717558245002434186e-12 5.013024097572498667e-12
2.611159999999999870e-02 4.839004867098698357e-12 5.076185485821461334e-12 5.394174675648077934e-12
2.709349999999999953e-02 5.207094222695608296e-12 5.462331347542677209e-12 5.804463360286666235e-12
2.811239999999999919e-02 5.603362589311810638e-12 5.878029108380382095e-12 6.246213804180891985e-12
2.916960000000000039e-02 6.030003400760890950e-12 6.325564634276783115e-12 6.721796336434447383e-12
3.026649999999999827e-02 6.489384440164892093e-12 6.807454055847305776e-12 7.233862877495504630e-12
3.140470000000000067e-02 6.984032508534450821e-12 7.326388054086262059e-12 7.785250681846642348e-12
3.258559999999999929e-02 7.516654004101366023e-12 7.885088559847662589e-12 8.378994360377908648e-12
3.381100000000000078e-02 8.090294695248556765e-12 8.486834681549117247e-12 9.018447491466087863e-12
3.508250000000000257e-02 8.708053068785165467e-12 9.134864587192434958e-12 9.707086773211442197e-12
3.640170000000000211e-02 9.373355188056530192e-12 9.832812191534945057e-12 1.044874396645413015e-11
3.777060000000000139e-02 1.009003835739773021e-11 1.058455878561024368e-11 1.124757923610129775e-11
3.919099999999999667e-02 1.086196727465709249e-11 1.139438996071837358e-11 1.210811119230113366e-11
4.066480000000000095e-02 1.169356375370159876e-11 1.226672813976533944e-11 1.303514558754456489e-11
4.219400000000000234e-02 1.258946011678541759e-11 1.320660835457360183e-11 1.403378855670770462e-11
4.378069999999999878e-02 1.355471624704006149e-11 1.421917524351997461e-11 1.510982376266325638e-11
4.542709999999999804e-02 1.459485977763060857e-11 1.531018515081736293e-11 1.626919279399081242e-11
4.713529999999999803e-02 1.571554592242449732e-11 1.648592660252655560e-11 1.751852107993468304e-11
4.890789999999999721e-02 1.692339993635329819e-11 1.775292633510158645e-11 1.886494892869919662e-11
5.074710000000000332e-02 1.822522273976924413e-11 1.911851367389795631e-11 2.031604629516816293e-11
5.265539999999999804e-02 1.962832271169540536e-11 2.059041063671967633e-11 2.188013422592331007e-11
5.463549999999999657e-02 2.114078560864583264e-11 2.217706266556602081e-11 2.356613245151028405e-11
5.669010000000000021e-02 2.277137887054700364e-11 2.388761919400651413e-11 2.538388462246343745e-11
5.882190000000000335e-02 2.452941010008982366e-11 2.573179329136958447e-11 2.734356169122192424e-11
6.103390000000000204e-02 2.642509236091601677e-11 2.772033796892122845e-11 2.945671122889287827e-11
6.332909999999999928e-02 2.846938457012487275e-11 2.986490270956228265e-11 3.173552505851708956e-11
6.571059999999999401e-02 3.067420123300002580e-11 3.217771288965588054e-11 3.419324326763696092e-11
